position,Teams,xG,xGA,xGD,G,GA,GD,GD V XGD ,Pts,xPts,Pts v xPts,,xG p90,xGA  p90,xGD  p90,G  p90,GA  p90,GD  p90,,,,AS OF 21/11/24
1,Liverpool,20.1,9.3,10.8,21,6,15,4.2,28,24.05,3.95,,1.827272727,0.845454545,0.981818182,1.909090909,0.545454545,1.363636364,,,,
2,Man City,22,13,9,22,13,9,0,23,20.03,2.97,,2,1.181818182,0.818181818,2,1.181818182,0.818181818,,,,
3,Chelsea,19.6,15.1,4.5,21,13,8,3.5,19,16.46,2.54,,1.781818182,1.372727273,0.409090909,1.909090909,1.181818182,0.727272727,,,,
4,Arsenal,17,11.9,5.1,18,12,6,0.9,19,17.88,1.12,,1.545454545,1.081818182,0.463636364,1.636363636,1.090909091,0.545454545,,,,
5,Nott'm Forest,14.2,11.2,3,15,10,5,2,19,17.41,1.59,,1.290909091,1.018181818,0.272727273,1.363636364,0.909090909,0.454545455,,,,
6,Brighton,16.4,18.4,-2,19,15,4,6,19,16.73,2.27,,1.490909091,1.672727273,-0.181818182,1.727272727,1.363636364,0.363636364,,,,
7,Fulham,17,12.7,4.3,16,13,3,-1.3,18,21.54,-3.54,,1.545454545,1.154545455,0.390909091,1.454545455,1.181818182,0.272727273,,,,
8,Newcastle,16.3,14.6,1.7,13,11,2,0.3,18,14.17,3.83,,1.481818182,1.327272727,0.154545455,1.181818182,1,0.181818182,,,,
9,Aston Villa,16.2,13.3,2.9,17,17,0,-2.9,18,18.11,-0.11,,1.472727273,1.209090909,0.263636364,1.545454545,1.545454545,0,,,,
10,Spurs,21.3,13,8.3,23,13,10,1.7,16,18.51,-2.51,,1.936363636,1.181818182,0.754545455,2.090909091,1.181818182,0.909090909,,,,
11,Brentford,18.2,19.3,-1.1,22,22,0,1.1,15,14.14,0.86,,1.654545455,1.754545455,-0.1,2,2,0,,,,
12,Bournemout,18.8,14.4,4.4,15,15,0,-4.4,15,18.5,-3.5,,1.709090909,1.309090909,0.4,1.363636364,1.363636364,0,,,,
13,Man Utd,17.4,16.7,0.7,12,12,0,-0.7,15,17.15,-2.15,,1.581818182,1.518181818,0.063636364,1.090909091,1.090909091,0,,,,
14,West Ham,15.1,18.4,-3.3,13,19,-6,-2.7,12,12.72,-0.72,,1.372727273,1.672727273,-0.3,1.181818182,1.727272727,-0.545454545,,,,
15,Leicester,11.1,20,-8.9,14,21,-7,1.9,10,8.92,1.08,,1.009090909,1.818181818,-0.809090909,1.272727273,1.909090909,-0.636363636,,,,
16,Everton,11.9,16,-4.1,10,17,-7,-2.9,10,11.38,-1.38,,1.081818182,1.454545455,-0.372727273,0.909090909,1.545454545,-0.636363636,,,,
17,Ipswich,10.1,24.2,-14.1,12,22,-10,4.1,8,7.79,0.21,,0.918181818,2.2,-1.281818182,1.090909091,2,-0.909090909,,,,
18,Crystal Palace,13.8,16.1,-2.3,8,15,-7,-4.7,7,12.51,-5.51,,1.254545455,1.463636364,-0.209090909,0.727272727,1.363636364,-0.636363636,,,,
19,Wolves,11.5,19.8,-8.3,16,27,-11,-2.7,6,9.3,-3.3,,1.045454545,1.8,-0.754545455,1.454545455,2.454545455,-1,,,,
20,Southampton,11.9,22.4,-10.5,7,21,-14,-3.5,4,9.35,-5.35,,1.081818182,2.036363636,-0.954545455,0.636363636,1.909090909,-1.272727273,,,,
