position	Teams	xG	xGA	xGD	G	GA	GD	GD V XGD 	Pts	xPts	Pts v xPts											AS OF 21/11/24
1	Liverpool	20.1	9.3	10.8	21	6	15	4.2	28	24.05	3.95											
2	Man City	22	13	9	22	13	9	0	23	20.03	2.97											
3	Chelsea	19.6	15.1	4.5	21	13	8	3.5	19	16.46	2.54											
4	Arsenal	17	11.9	5.1	18	12	6	0.9	19	17.88	1.12											
5	Nottingham Forest	14.2	11.2	3	15	10	5	2	19	17.41	1.59											
6	Brighton	16.4	18.4	-2	19	15	4	6	19	16.73	2.27											
7	Fulham	17	12.7	4.3	16	13	3	-1.3	18	21.54	-3.54											
8	Newcastle	16.3	14.6	1.7	13	11	2	0.3	18	14.17	3.83											
9	Aston Villa	16.2	13.3	2.9	17	17	0	-2.9	18	18.11	-0.11											
10	Tottenham	21.3	13	8.3	23	13	10	1.7	16	18.51	-2.51											
11	Brentford	18.2	19.3	-1.1	22	22	0	1.1	15	14.14	0.86											
12	Bournemout	18.8	14.4	4.4	15	15	0	-4.4	15	18.5	-3.5											
13	Man Utd	17.4	16.7	0.7	12	12	0	-0.7	15	17.15	-2.15											
14	West Ham	15.1	18.4	-3.3	13	19	-6	-2.7	12	12.72	-0.72											
15	Leicester	11.1	20	-8.9	14	21	-7	1.9	10	8.92	1.08											
16	Everton	11.9	16	-4.1	10	17	-7	-2.9	10	11.38	-1.38											
17	Ipswich	10.1	24.2	-14.1	12	22	-10	4.1	8	7.79	0.21											
18	Crystal Palace	13.8	16.1	-2.3	8	15	-7	-4.7	7	12.51	-5.51											
19	Wolves	11.5	19.8	-8.3	16	27	-11	-2.7	6	9.3	-3.3											
20	Southampton	11.9	22.4	-10.5	7	21	-14	-3.5	4	9.35	-5.35											
