Home Team,Away Team,,,,,
Brighton,Southampton,,,,,
Brentford,Leicester,,,,,
Crystal Palace,Newcastle,,,,,
Nott'm Forest,Ipswich,,,,,
Wolves,Bournemouth,,,,,
West Ham,Arsenal,,,,,
Chelsea,Aston Villa,,,,,
Man Utd,Everton,,,,,
Spurs,Fulham,,,,,
Liverpool,Man City,,,,,
Ipswich,Crystal Palace,,,,,
Leicester,West Ham,,,,,
Everton,Wolves,,,,,
Man City,Nott'm Forest,,,,,
Newcastle,Liverpool,,,,,
Southampton,Chelsea,,,,,
Arsenal,Man Utd,,,,,
Aston Villa,Brentford,,,,,
Fulham,Brighton,,,,,
Bournemouth,Spurs,,,,,
Everton,Liverpool,,,,,
Aston Villa,Southampton,,,,,
Brentford,Newcastle,,,,,
Crystal Palace,Man City,,,,,
Man Utd,Nott'm Forest,,,,,
Fulham,Arsenal,,,,,
Ipswich,Bournemouth,,,,,
Leicester,Brighton,,,,,
Spurs,Chelsea,,,,,
West Ham,Wolves,,,,,
Arsenal,Everton,,,,,
Liverpool,Fulham,,,,,
Newcastle,Leicester,,,,,
Wolves,Ipswich,,,,,
Nott'm Forest,Aston Villa,,,,,
Brighton,Crystal Palace,,,,,
Man City,Man Utd,,,,,
Chelsea,Brentford,,,,,
Southampton,Spurs,,,,,
Bournemouth,West Ham,,,,,
Aston Villa,Man City,,,,,
Brentford,Nott'm Forest,,,,,
Ipswich,Newcastle,,,,,
West Ham,Brighton,,,,,
Crystal Palace,Arsenal,,,,,
Everton,Chelsea,,,,,
Fulham,Southampton,,,,,
Leicester,Wolves,,,,,
Man Utd,Bournemouth,,,,,
Spurs,Liverpool,,,,,
Man City,Everton,,,,,
Bournemouth,Crystal Palace,,,,,
Chelsea,Fulham,,,,,
Newcastle,Aston Villa,,,,,
Nott'm Forest,Spurs,,,,,
Southampton,West Ham,,,,,
Wolves,Man Utd,,,,,
Liverpool,Leicester,,,,,
Brighton,Brentford,,,,,
Arsenal,Ipswich,,,,,
Leicester,Man City,,,,,
Crystal Palace,Southampton,,,,,
Everton,Nott'm Forest,,,,,
Fulham,Bournemouth,,,,,
Spurs,Wolves,,,,,
West Ham,Liverpool,,,,,
Aston Villa,Brighton,,,,,
Ipswich,Chelsea,,,,,
Man Utd,Newcastle,,,,,
Brentford,Arsenal,,,,,
Spurs,Newcastle,,,,,
Aston Villa,Leicester,,,,,
Bournemouth,Everton,,,,,
Crystal Palace,Chelsea,,,,,
Man City,West Ham,,,,,
Southampton,Brentford,,,,,
Brighton,Arsenal,,,,,
Fulham,Ipswich,,,,,
Liverpool,Man Utd,,,,,
Wolves,Nott'm Forest,,,,,
Brentford,Man City,,,,,
West Ham,Fulham,,,,,
Chelsea,Bournemouth,,,,,
Nott'm Forest,Liverpool,,,,,
Everton,Aston Villa,,,,,
Leicester,Crystal Palace,,,,,
Newcastle,Wolves,,,,,
Arsenal,Spurs,,,,,
Ipswich,Brighton,,,,,
Man Utd,Southampton,,,,,
Newcastle,Bournemouth,,,,,
Brentford,Liverpool,,,,,
Leicester,Fulham,,,,,
West Ham,Crystal Palace,,,,,
Arsenal,Aston Villa,,,,,
Everton,Spurs,,,,,
Man Utd,Brighton,,,,,
Nott'm Forest,Southampton,,,,,
Ipswich,Man City,,,,,
Chelsea,Wolves,,,,,
Bournemouth,Nott'm Forest,,,,,
Brighton,Everton,,,,,
Liverpool,Ipswich,,,,,
